 cliente ; fecha      ; hora     ; p1/1000 ; p2/1000 
2;2016-12-10;02:00:06;0;0
2;2016-12-10;02:00:18;0;0
2;2016-12-10;02:01:00;0;0
2;2016-12-10;02:02:00;0;0
2;2016-12-10;02:03:00;254;0
2;2016-12-10;02:04:16;0;0
2;2016-12-10;02:05:00;0;0
2;2016-12-10;02:06:00;0;0
2;2016-12-10;02:07:00;0;0
2;2016-12-10;02:08:00;0;0
2;2016-12-10;02:09:00;0;0
2;2016-12-10;02:10:00;0;0
2;2016-12-10;02:11:00;0;0
2;2016-12-10;02:12:00;0;0
2;2016-12-10;02:13:06;0;0
2;2016-12-10;02:14:00;0;0
2;2016-12-10;02:15:00;0;0
2;2016-12-10;02:16:00;0;0
2;2016-12-10;02:17:30;0;0
2;2016-12-10;02:18:00;0;0
2;2016-12-10;02:19:00;0;0
2;2016-12-10;02:20:00;0;254
2;2016-12-10;02:21:00;254;254
2;2016-12-10;02:22:00;254;254
2;2016-12-10;02:23:36;762;762
2;2016-12-10;02:24:00;508;254
2;2016-12-10;02:25:00;508;508
2;2016-12-10;02:26:00;508;508
2;2016-12-10;02:27:00;508;762
2;2016-12-10;02:28:00;508;508
2;2016-12-10;02:29:00;508;508
2;2016-12-10;02:30:05;508;254
2;2016-12-10;02:31:00;508;508
2;2016-12-10;02:32:00;508;508
2;2016-12-10;02:33:00;508;508
2;2016-12-10;02:34:00;254;508
2;2016-12-10;02:35:18;508;508
2;2016-12-10;02:36:00;254;254
2;2016-12-10;02:37:00;1016;1016
2;2016-12-10;02:38:00;1016;1016
2;2016-12-10;02:39:17;762;762
2;2016-12-10;02:40:00;762;762
2;2016-12-10;02:41:00;762;762
2;2016-12-10;02:42:00;    1.27 ;    1.27 
2;2016-12-10;02:43:00;1524;1524
2;2016-12-10;02:44:00;1778;1524
2;2016-12-10;02:45:00;    1.27 ;1524
2;2016-12-10;02:46:00;    1.27 ;1016
2;2016-12-10;02:47:06;508;762
2;2016-12-10;02:48:00;762;508
2;2016-12-10;02:49:00;762;762
2;2016-12-10;02:50:00;508;762
2;2016-12-10;02:51:06;762;508
2;2016-12-10;02:52:00;762;762
2;2016-12-10;02:53:00;508;508
2;2016-12-10;02:54:00;508;254
2;2016-12-10;02:55:00;254;508
2;2016-12-10;02:56:00;254;254
2;2016-12-10;02:57:00;508;508
2;2016-12-10;02:58:00;762;762
2;2016-12-10;02:59:18;762;762
2;2016-12-10;03:00:00;254;254
2;2016-12-10;03:01:00;254;254
2;2016-12-10;03:02:00;508;508
2;2016-12-10;03:03:00;254;254
2;2016-12-10;03:04:00;254;254
2;2016-12-10;03:05:31;762;762
2;2016-12-10;03:06:00;0;254
2;2016-12-10;03:06:31;508;254
2;2016-12-10;03:07:00;508;254
2;2016-12-10;03:08:00;254;254
2;2016-12-10;03:09:00;508;762
2;2016-12-10;03:10:00;762;508
2;2016-12-10;03:11:07;    1.27 ;    1.27 
2;2016-12-10;03:12:00;762;762
2;2016-12-10;03:13:00;762;762
2;2016-12-10;03:14:00;762;762
2;2016-12-10;03:15:00;    1.27 ;    1.27 
2;2016-12-10;03:16:09;    1.27 ;    1.27 
2;2016-12-10;03:17:00;1016;1016
2;2016-12-10;03:18:00;1524;    1.27 
2;2016-12-10;03:19:00;    1.27 ;1016
2;2016-12-10;03:20:00;    1.27 ;    1.27 
2;2016-12-10;03:21:00;    1.27 ;1016
2;2016-12-10;03:22:00;    1.27 ;    1.27 
2;2016-12-10;03:23:00;1016;762
2;2016-12-10;03:24:12;1524;    1.27 
2;2016-12-10;03:25:00;508;254
2;2016-12-10;03:26:00;508;508
2;2016-12-10;03:27:00;508;254
2;2016-12-10;03:28:00;508;508
2;2016-12-10;03:29:20;254;508
2;2016-12-10;03:30:00;508;254
